slug,center_lat,center_lon,zoom
p102-bangi-selangor,3.000414,101.78383,10.37483900683841
p103-puchong-selangor,3.015146,101.656111,11.842162228245384
p104-subang-selangor,3.04078,101.62589,11.725498453289667
p105-petaling-jaya-selangor,3.10124,101.594586,12.082132190774097
p106-damansara-selangor,3.167384,101.613302,10.817296991413254
p107-sungai-buloh-selangor,3.179418,101.517484,10.942827084652714
p108-shah-alam-selangor,3.106526,101.506615,10.904427422259099
p109-kapar-selangor,3.048968,101.3483,10.012114266127249
p110-klang-selangor,2.99702,101.37295,10.343184979673596
p111-kota-raja-selangor,3.000578,101.50383,11.516263407320135
p112-kuala-langat-selangor,2.855638,101.462481,10.248462833372242
p113-sepang-selangor,2.797926,101.618002,9.45627760566453
p114-kepong-wp-kuala-lumpur,3.210266,101.648488,12.705830915858114
p115-batu-wp-kuala-lumpur,3.207207,101.675811,11.975705590649943
p116-wangsa-maju-wp-kuala-lumpur,3.211558,101.719734,12.737304186332166
p117-segambut-wp-kuala-lumpur,3.168297,101.654977,11.852368263581814
p118-setiawangsa-wp-kuala-lumpur,3.185296,101.729134,13.031748446967462
p119-titiwangsa-wp-kuala-lumpur,3.152316,101.722656,12.41752523336043
p120-bukit-bintang-wp-kuala-lumpur,3.124122,101.700557,11.676020628340813
p121-lembah-pantai-wp-kuala-lumpur,3.110005,101.668467,11.843822874423115
p122-seputeh-wp-kuala-lumpur,3.077751,101.67758,11.980322715353072
p123-cheras-wp-kuala-lumpur,3.109202,101.72605,12.165017576010445
p124-bandar-tun-razak-wp-kuala-lumpur,3.078172,101.726607,11.709836460868555
p125-putrajaya-wp-putrajaya,2.92604,101.696204,11.572023972627939
p126-jelebu-negeri-sembilan,3.058348,102.198816,9.348815007086838
p127-jempol-negeri-sembilan,2.80886,102.469944,9.48347980309506
p128-seremban-negeri-sembilan,2.839514,101.909251,10.19401136608789
p129-kuala-pilah-negeri-sembilan,2.722512,102.223174,9.642337350779837
p130-rasah-negeri-sembilan,2.73082,101.874643,10.955863875069022
p131-rembau-negeri-sembilan,2.572947,102.019912,9.93417265331154
p132-port-dickson-negeri-sembilan,2.556557,101.866245,9.811909787332509
p133-tampin-negeri-sembilan,2.549664,102.416969,10.06521176014231
p134-masjid-tanah-melaka,2.391642,102.08953,10.441754051438473
p135-alor-gajah-melaka,2.379034,102.384258,10.401780151459471
p136-tangga-batu-melaka,2.271464,102.175595,11.151466297034945
p137-hang-tuah-jaya-melaka,2.229982,102.313835,11.334049809918634
p138-kota-melaka-melaka,2.173168,102.27552,10.502133929698676
p139-jasin-melaka,2.241051,102.424854,10.026387176790688
p140-segamat-johor,2.611962,102.749674,9.416443689929931
p141-sekijang-johor,2.526458,102.916966,9.890233398868698
p142-labis-johor,2.37193,103.150871,9.515214366531684
p143-pagoh-johor,2.223506,102.796058,9.50948978285952
p144-ledang-johor,2.264999,102.592652,9.4375997365792
p145-bakri-johor,2.020095,102.695046,11.040245589659456
p146-muar-johor,1.948964,102.670704,10.585616362848278
p147-parit-sulong-johor,1.974219,102.900644,9.84489270651969
p148-ayer-hitam-johor,2.009306,103.087669,9.596513244636993
p149-sri-gading-johor,1.876798,103.016734,10.688188274580153
p150-batu-pahat-johor,1.762145,103.05577,10.064361914679367
p151-simpang-renggam-johor,1.850719,103.410764,10.053870324414826
p152-kluang-johor,1.992078,103.309691,10.323449304818208
p153-sembrong-johor,2.135826,103.368329,9.188313367751352
p154-mersing-johor,2.35275,103.915825,8.897978089057192
p155-tenggara-johor,1.819402,103.745854,9.394579956819662
p156-kota-tinggi-johor,1.790576,103.975338,9.20977156306316
p157-pengerang-johor,1.540408,104.152867,9.524339759079682
p158-tebrau-johor,1.549448,103.838086,10.25299190318428
p159-pasir-gudang-johor,1.495228,103.843688,11.164653227015835
p160-johor-bahru-johor,1.488338,103.752336,12.172279553429103
p161-pulai-johor,1.49901,103.696446,11.689633073432256
p162-iskandar-puteri-johor,1.472823,103.617672,10.18530619597706
p163-kulai-johor,1.66396,103.550536,10.051786235406578
p164-pontian-johor,1.62197,103.318279,10.016879481634444
