state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Pulau Pinang,P.049 Tanjong,P.049,N.27 Pengkalan Kota,N.27,1.5,1,0.5,50.0
Kelantan,P.019 Tumpat,P.019,N.02 Kelaboran,N.02,67.9,56,11.9,21.25
Terengganu,P.036 Kuala Terengganu,P.036,N.14 Bandar,N.14,5.5,5,0.5,10.0
Pulau Pinang,P.045 Bukit Mertajam,P.045,N.13 Berapit,N.13,6.4,6,0.4,6.67
Kedah,P.010 Kuala Kedah,P.010,N.16 Kubang Rotan,N.16,65.7,62,3.7,5.97
Kelantan,P.019 Tumpat,P.019,N.01 Pengkalan Kubor,N.01,53.6,51,2.6,5.1
Kedah,P.010 Kuala Kedah,P.010,N.17 Pengkalan Kundor,N.17,94.4,90,4.4,4.89
Kedah,P.005 Jerlun,P.005,N.03 Kota Siputeh,N.03,157.2,150,7.2,4.8
Johor,P.146 Muar,P.146,N.15 Maharani,N.15,68.0,65,3.0,4.62
Perak,P.065 Ipoh Barat,P.065,N.29 Kepayang,N.29,13.6,13,0.6,4.62
Melaka,P.138 Kota Melaka,P.138,N.21 Duyong,N.21,11.5,11,0.5,4.55
Perak,P.065 Ipoh Barat,P.065,N.30 Buntong,N.30,9.4,9,0.4,4.44
Terengganu,P.035 Kuala Nerus,P.035,N.12 Bukit Tunggal,N.12,12.5,12,0.5,4.17
Pulau Pinang,P.051 Bukit Gelugor,P.051,N.32 Seri Delima,N.32,5.2,5,0.2,4.0
Selangor,P.105 Petaling Jaya,P.105,N.34 Bukit Gasing,N.34,13.5,13,0.5,3.85
Kelantan,P.021 Kota Bharu,P.021,N.10 Bunut Payong,N.10,13.5,13,0.5,3.85
Selangor,P.105 Petaling Jaya,P.105,N.33 Taman Medan,N.33,8.3,8,0.3,3.75
Johor,P.160 Johor Bahru,P.160,N.45 Stulang,N.45,15.5,15,0.5,3.33
Negeri Sembilan,P.130 Rasah,P.130,N.24 Seremban Jaya,N.24,12.4,12,0.4,3.33
Pulau Pinang,P.051 Bukit Gelugor,P.051,N.33 Air Itam,N.33,3.1,3,0.1,3.33
Selangor,P.106 Damansara,P.106,N.36 Bandar Utama,N.36,14.4,14,0.4,2.86
Negeri Sembilan,P.128 Seremban,P.128,N.13 Sikamat,N.13,14.4,14,0.4,2.86
Selangor,P.093 Sungai Besar,P.093,N.04 Sekinchan,N.04,263.2,256,7.2,2.81
Kelantan,P.023 Rantau Panjang,P.023,N.15 Gual Periok,N.15,150.9,147,3.9,2.65
Johor,P.144 Ledang,P.144,N.11 Serom,N.11,201.2,196,5.2,2.65
Kedah,P.005 Jerlun,P.005,N.04 Ayer Hitam,N.04,170.4,166,4.4,2.65
Perak,P.064 Ipoh Timor,P.064,N.27 Pasir Pinji,N.27,8.2,8,0.2,2.5
Selangor,P.111 Kota Raja,P.111,N.48 Sentosa,N.48,22.5,22,0.5,2.27
Perak,P.071 Gopeng,P.071,N.46 Teja,N.46,410.8,402,8.8,2.19
Negeri Sembilan,P.132 Port Dickson,P.132,N.32 Linggi,N.32,201.2,197,4.2,2.13
Kedah,P.009 Alor Setar,P.009,N.12 Suka Menanti,N.12,24.5,24,0.5,2.08
Terengganu,P.035 Kuala Nerus,P.035,N.10 Buluh Gading,N.10,71.4,70,1.4,2.0
