state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Sarawak,P.196 Stampin,P.196,N.11 Batu Lintang,N.11,24.9,22,2.9,13.18
Sarawak,P.197 Kota Samarahan,P.197,N.15 Muara Tuang,N.15,414.3,374,40.3,10.78
Sarawak,P.211 Lanang,P.211,N.45 Bukit Assek,N.45,58.5,53,5.5,10.38
Sarawak,P.209 Julau,P.209,N.41 Pakan,N.41,909.1,852,57.1,6.7
Sarawak,P.198 Mambong,P.198,N.16 Bengoh,N.16,709.0,667,42.0,6.3
Sarawak,P.198 Mambong,P.198,N.17 Tarat,N.17,705.2,664,41.2,6.2
Sarawak,P.204 Betong,P.204,N.30 Saribas,N.30,437.6,414,23.6,5.7
Sarawak,P.212 Sibu,P.212,N.48 Pelawan,N.48,13.7,13,0.7,5.38
Sarawak,P.218 Sibuti,P.218,N.62 Lambir,N.62,496.8,473,23.8,5.03
Sarawak,P.202 Sri Aman,P.202,N.27 Simanggang,N.27,322.1,307,15.1,4.92
Sarawak,P.193 Santubong,P.193,N.04 Pantai Damai,N.04,390.2,373,17.2,4.61
Sarawak,P.217 Bintulu,P.217,N.58 Jepak,N.58,1026.7,984,42.7,4.34
Sarawak,P.201 Batang Lupar,P.201,N.23 Lingga,N.23,1004.8,970,34.8,3.59
Sarawak,P.214 Selangau,P.214,N.52 Tamin,N.52,3613.1,3492,121.1,3.47
Sarawak,P.206 Tanjong Manis,P.206,N.35 Belawai,N.35,803.8,778,25.8,3.32
Sarawak,P.193 Santubong,P.193,N.05 Demak Laut,N.05,230.0,223,7.0,3.14
Sarawak,P.219 Miri,P.219,N.65 Senadin,N.65,737.4,718,19.4,2.7
Sarawak,P.215 Kapit,P.215,N.55 Katibas,N.55,3907.3,3820,87.3,2.29
Sarawak,P.201 Batang Lupar,P.201,N.22 Sebuyau,N.22,591.7,582,9.7,1.67
Sarawak,P.204 Betong,P.204,N.31 Layar,N.31,415.4,409,6.4,1.56
Sarawak,P.217 Bintulu,P.217,N.60 Kemena,N.60,7423.6,7312,111.6,1.53
Sarawak,P.200 Batang Sadong,P.200,N.20 Sadong Jaya,N.20,153.2,151,2.2,1.46
Sarawak,P.221 Limbang,P.221,N.68 Bukit Kota,N.68,473.4,468,5.4,1.15
Sarawak,P.216 Hulu Rajang,P.216,N.57 Belaga,N.57,19673.0,19453,220.0,1.13
Sarawak,P.205 Saratok,P.205,N.34 Krian,N.34,893.4,887,6.4,0.72
Sarawak,P.203 Lubok Antu,P.203,N.28 Engkilili,N.28,1304.6,1298,6.6,0.51
