state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Terengganu,P.033 Besut,P.033,N.04 Hulu Besut,N.04,741.8,744,-2.2,-0.3
Melaka,P.121 Selandar,P.121,N.09 Durian Tunggal,N.09,88.7,89,-0.3,-0.34
Johor,P.137 Sungai Benut,P.137,N.26 Benut,N.26,351.8,353,-1.2,-0.34
Perak,P.056 Bukit Gantang,P.056,N.12 Trong,N.12,536.0,538,-2.0,-0.37
Perak,P.053 Larut,P.053,N.05 Batu Kurau,N.05,494.1,496,-1.9,-0.38
Melaka,P.121 Selandar,P.121,N.06 Pulau Sebang,N.06,51.8,52,-0.2,-0.38
Pulau Pinang,P.045 Bukit Mertajam,P.045,N.15 Bukit Tengah,N.15,52.8,53,-0.2,-0.38
Kelantan,P.025 Bachok,P.025,N.20 Perupok,N.20,71.7,72,-0.3,-0.42
Pahang,P.081 Maran,P.081,N.21 Luit,N.21,622.3,625,-2.7,-0.43
Pulau Pinang,P.044 Permatang Pauh,P.044,N.12 Penanti,N.12,46.8,47,-0.2,-0.43
Negeri Sembilan,P.115 Tampin,P.115,N.09 Gemas,N.09,292.7,294,-1.3,-0.44
Selangor,P.098 Shah Alam,P.098,N.36 Sungai Renggam,N.36,44.8,45,-0.2,-0.44
Perak,P.066 Parit,P.066,N.33 Belanja,N.33,284.7,286,-1.3,-0.45
Melaka,P.124 Jasin,P.124,N.23 Merlimau,N.23,149.3,150,-0.7,-0.47
Perak,P.056 Bukit Gantang,P.056,N.11 Changkat Jering,N.11,85.6,86,-0.4,-0.47
Johor,P.131 Parit Sulong,P.131,N.13 Sri Medan,N.13,656.7,660,-3.3,-0.5
Selangor,P.090 Selayang,P.090,N.15 Paya Jaras,N.15,140.3,141,-0.7,-0.5
Kedah,P.013 Sik,P.013,N.22 Belantek,N.22,1312.2,1319,-6.8,-0.52
Melaka,P.124 Jasin,P.124,N.22 Rim,N.22,112.4,113,-0.6,-0.53
Kedah,P.014 Merbok,P.014,N.24 Bukit Selambau,N.24,283.5,285,-1.5,-0.53
Negeri Sembilan,P.119 Telok Kemang,P.119,N.28 Chembong,N.28,145.2,146,-0.8,-0.55
Pahang,P.076 Raub,P.076,N.07 Teras,N.07,493.2,496,-2.8,-0.56
Johor,P.130 Kluang,P.130,N.12 Mengkibol,N.12,152.1,153,-0.9,-0.59
Pulau Pinang,P.042 Tasek Gelugor,P.042,N.06 Telok Ayer Tawar,N.06,16.9,17,-0.1,-0.59
Perak,P.068 Kampar,P.068,N.39 Malim Nawar,N.39,135.2,136,-0.8,-0.59
Melaka,P.121 Selandar,P.121,N.08 Bukit Asahan,N.08,213.7,215,-1.3,-0.6
Pulau Pinang,P.046 Nibong Tebal,P.046,N.17 Jawi,N.17,96.4,97,-0.6,-0.62
Pahang,P.076 Raub,P.076,N.08 Dong,N.08,721.3,726,-4.7,-0.65
Pahang,P.084 Temerluh,P.084,N.33 Teriang,N.33,181.8,183,-1.2,-0.66
Pahang,P.082 Mentekab,P.082,N.27 Lancang,N.27,807.6,813,-5.4,-0.66
Perak,P.053 Larut,P.053,N.04 Selama,N.04,544.4,548,-3.6,-0.66
Negeri Sembilan,P.113 Jelebu,P.113,N.01 Chennah,N.01,722.1,727,-4.9,-0.67
Selangor,P.086 Sabak Bernam,P.086,N.02 Sabak,N.02,100.3,101,-0.7,-0.69
Selangor,P.097 Subang,P.097,N.33 Kelana Jaya,N.33,42.7,43,-0.3,-0.7
Selangor,P.088 Hulu Selangor,P.088,N.08 Kuala Kubu Baharu,N.08,628.6,633,-4.4,-0.7
Selangor,P.093 Hulu Langat,P.093,N.23 Kajang,N.23,84.4,85,-0.6,-0.71
Perak,P.052 Gerik,P.052,N.03 Kenering,N.03,1731.4,1744,-12.6,-0.72
Perak,P.074 Tanjong Malim,P.074,N.51 Sungkai,N.51,678.1,683,-4.9,-0.72
Selangor,P.101 Kuala Langat,P.101,N.44 Teluk Datuk,N.44,180.6,182,-1.4,-0.77
Pahang,P.079 Paya Besar,P.079,N.17 Penur,N.17,388.9,392,-3.1,-0.79
Negeri Sembilan,P.117 Seremban,P.117,N.19 Lenggeng,N.19,263.9,266,-2.1,-0.79
Negeri Sembilan,P.115 Tampin,P.115,N.11 Repah,N.11,186.5,188,-1.5,-0.8
Selangor,P.095 PJ Selatan,P.095,N.27 Bukit Gasing,N.27,10.9,11,-0.1,-0.91
Pahang,P.081 Maran,P.081,N.22 Hulu Jempul,N.22,424.1,428,-3.9,-0.91
Perak,P.057 Taiping,P.057,N.14 Pokok Assam,N.14,43.6,44,-0.4,-0.91
Terengganu,P.034 Setiu,P.034,N.06 Permaisuri,N.06,698.6,705,-6.4,-0.91
Melaka,P.122 Batu Berendam,P.122,N.13 Ayer Keroh,N.13,42.6,43,-0.4,-0.93
Kedah,P.006 Kubang Pasu,P.006,N.06 Jitra,N.06,168.4,170,-1.6,-0.94
Kedah,P.007 Padang Terap,P.007,N.08 Pedu,N.08,688.4,695,-6.6,-0.95
Negeri Sembilan,P.113 Jelebu,P.113,N.04 Sungai Lui,N.04,281.3,284,-2.7,-0.95
Perak,P.068 Kampar,P.068,N.38 Kuala Dipang,N.38,58.4,59,-0.6,-1.02
Pahang,P.084 Temerluh,P.084,N.32 Semantan,N.32,252.4,255,-2.6,-1.02
Perak,P.052 Gerik,P.052,N.01 Pengkalan Hulu,N.01,641.3,648,-6.7,-1.03
Negeri Sembilan,P.118 Rasah,P.118,N.24 Temiang,N.24,56.4,57,-0.6,-1.05
Selangor,P.092 Ampang Jaya,P.092,N.21 Lembah Jaya,N.21,18.8,19,-0.2,-1.05
Perak,P.058 Chenderoh,P.058,N.17 Lubok Merbau,N.17,293.8,297,-3.2,-1.08
Perak,P.059 Sungai Siput,P.059,N.19 Jalong,N.19,466.8,472,-5.2,-1.1
Selangor,P.100 Klang,P.100,N.41 Bandar Klang,N.41,16.8,17,-0.2,-1.18
Terengganu,P.037 Marang,P.037,N.18 Bukit Payung,N.18,32.6,33,-0.4,-1.21
