state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Pahang,P.089 Bentong,P.089,N.33 Bilut,N.33,268.8,28,240.8,860.0
Johor,P.150 Batu Pahat,P.150,N.23 Penggaram,N.23,29.3,13,16.3,125.38
Perak,P.065 Ipoh Barat,P.065,N.29 Kepayang,N.29,12.6,6,6.6,110.0
Terengganu,P.036 Kuala Terengganu,P.036,N.16 Batu Buruk,N.16,25.8,13,12.8,98.46
Pulau Pinang,P.050 Jelutong,P.050,N.30 Sungai Pinang,N.30,3.8,2,1.8,90.0
Johor,P.165 Tanjong Piai,P.165,N.55 Pekan Nenas,N.55,130.7,70,60.7,86.71
Terengganu,P.035 Kuala Nerus,P.035,N.11 Seberang Takir,N.11,27.2,16,11.2,70.0
Selangor,P.109 Kapar,P.109,N.43 Sementa,N.43,109.8,65,44.8,68.92
Pulau Pinang,P.049 Tanjong,P.049,N.28 Komtar,N.28,1.6,1,0.6,60.0
Perak,P.066 Batu Gajah,P.066,N.32 Menglembu,N.32,7.8,5,2.8,56.0
Pulau Pinang,P.051 Bukit Gelugor,P.051,N.33 Air Itam,N.33,3.1,2,1.1,55.0
Selangor,P.109 Kapar,P.109,N.45 Selat Klang,N.45,145.3,94,51.3,54.57
Pulau Pinang,P.049 Tanjong,P.049,N.27 Pengkalan Kota,N.27,1.5,1,0.5,50.0
Melaka,P.138 Kota Melaka,P.138,N.22 Bandar Hilir,N.22,4.4,3,1.4,46.67
Kedah,P.004 Langkawi,P.004,N.01 Ayer Hangat,N.01,311.6,217,94.6,43.59
Pulau Pinang,P.049 Tanjong,P.049,N.26 Padang Kota,N.26,2.8,2,0.8,40.0
Selangor,P.104 Kelana Jaya,P.104,N.31 Subang Jaya,N.31,23.0,17,6.0,35.29
Johor,P.161 Pulai,P.161,N.46 Pengkalan Rinting,N.46,50.8,38,12.8,33.68
Kelantan,P.019 Tumpat,P.019,N.03 Pasir Pekan,N.03,50.7,38,12.7,33.42
Selangor,P.107 Subang,P.107,N.39 Kota Damansara,N.39,69.1,52,17.1,32.88
Kedah,P.004 Langkawi,P.004,N.02 Kuah,N.02,156.5,118,38.5,32.63
Kedah,P.008 Pokok Sena,P.008,N.11 Derga,N.11,13.2,10,3.2,32.0
Selangor,P.102 Serdang,P.102,N.26 Bangi,N.26,86.1,66,20.1,30.45
Pulau Pinang,P.051 Bukit Gelugor,P.051,N.32 Seri Delima,N.32,7.8,6,1.8,30.0
Pahang,P.091 Rompin,P.091,N.42 Tioman,N.42,1623.1,1249,374.1,29.95
Kelantan,P.021 Kota Bharu,P.021,N.08 Tanjong Mas,N.08,14.2,11,3.2,29.09
Johor,P.159 Pasir Gudang,P.159,N.42 Johor Jaya,N.42,89.7,70,19.7,28.14
Terengganu,P.037 Marang,P.037,N.18 Bukit Payung,N.18,35.5,28,7.5,26.79
Terengganu,P.039 Dungun,P.039,N.27 Sura,N.27,11.4,9,2.4,26.67
Perak,P.075 Bagan Datok,P.075,N.53 Rungkup,N.53,275.8,219,56.8,25.94
Kelantan,P.022 Pasir Mas,P.022,N.12 Pengkalan Pasir,N.12,36.4,29,7.4,25.52
Melaka,P.138 Kota Melaka,P.138,N.20 Kota Laksamana,N.20,5.0,4,1.0,25.0
